Family,Category,SuggestedName,Conflict,ProblemReasons
"System Panel","Curtain Panels","MHT-ME-FAM-System-Panel","",""
"Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular-Mullion","",""
"Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-01","DUP",""
"V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-02","DUP",""
"Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"MHT_AS_SectionTail","Section Marks","MHT-ME-FAM-Sectiontail","",""
"MHT_AS_Level Head - Circle","Level Heads","MHT-ME-FAM-Level-Head-Circle-01","DUP",""
"MHT_AS_SectionHead","Section Marks","MHT-ME-FAM-Sectionhead","",""
"MHT_AS_Callout Head","Callout Heads","MHT-ME-FAM-Callout-Head-01","DUP",""
"MHT_AS_View Title","View Titles","MHT-ME-FAM-View-Title","",""
"MHT_AS_ViewReference","View Reference","MHT-ME-FAM-Viewreference","",""
"Callout Head","Callout Heads","MHT-ME-FAM-Callout-Head-02","DUP",""
"MHT_ViewTitle","View Titles","MHT-ME-FAM-Viewtitle","",""
"MHT_AS_GridHead","Grid Heads","MHT-ME-FAM-Gridhead","",""
"MHT_AS_Logo-Meinhardt-50mm","Generic Annotations","MHT-ME-FAM-Logo-Meinhardt-50Mm","",""
"MHT_AS_Logo-Meinhardt-120mm","Generic Annotations","MHT-ME-FAM-Logo-Meinhardt-120Mm","",""
"Level Head_Target RL","Level Heads","MHT-ME-FAM-Level-Head-Target-RL","",""
"Level Head_Triangle RL Multi","Level Heads","MHT-ME-FAM-Level-Head-Triangle-RL-Multi","",""
"Grid Head_Circle","Grid Heads","MHT-ME-FAM-Grid-Head-Circle","",""
"MHT-ME-DF-Rectangular Square Tee - Flanged","Duct Fittings","MHT-ME-DF-DF-Rectangular-Square-Tee-Flanged","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular Square Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Press-Flanged-DN450","",""
"MHT-ME-DF-Rectangular transition","Duct Fittings","MHT-ME-DF-DF-Rectangular-Transition","","missing_shape;missing_fitting"
"MHT-ME-DF-Spigot","Duct Fittings","MHT-ME-DF-DF-Spigot-DN8","","missing_shape;missing_fitting"
"Level Head - Circle","Level Heads","MHT-ME-FAM-Level-Head-Circle-02","DUP",""
"MHT-ME-DF-Round Union","Duct Fittings","MHT-ME-DF-DF-Round-Union","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Pressed Equal Tee - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Taper - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Round-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular - Oval Transformation - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Rectangular-Oval-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular Union","Duct Fittings","MHT-ME-DF-DF-Rectangular-Union","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular - Oval Transformation - Flanged","Duct Fittings","MHT-ME-DF-DF-Rectangular-Oval-Transformation-Flanged","","missing_shape;missing_fitting;missing_size"
"MHT-ME-PF-Bush Reducing - Plain - PVC-C","Pipe Fittings","MHT-ME-FAM-PF-Bush-Reducing-Plain-PVC-C","",""
"MHT-ME-PF-Coupling - Soldered - CU","Pipe Fittings","MHT-ME-FAM-PF-Coupling-Soldered-CU","",""
"MHT-ME-PF-Cross - Soldered - CU","Pipe Fittings","MHT-ME-FAM-PF-Cross-Soldered-CU","",""
"MHT-ME-PF-Reducer Straight - Soldered - CU","Pipe Fittings","MHT-ME-FAM-PF-Reducer-Straight-Soldered-CU","",""
"MHT-ME-PF-Stop End - Soldered - CU","Pipe Fittings","MHT-ME-FAM-PF-Stop-End-Soldered-CU","",""
"MHT-ME-PF-Cap - Plain - PVC-C1","Pipe Fittings","MHT-ME-FAM-PF-Cap-Plain-PVC-C1","",""
"MHT-ME-PF-Cross - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-PF-Cross-Plain-PVC-C2","",""
"MHT-ME-PF-Socket - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-PF-Socket-Plain-PVC-C2","",""
"MHT-ME-PF-Elbow - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-PF-Elbow-Plain-PVC-C2","",""
"MHT-ME-PF-Tee - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-PF-Tee-Plain-PVC-C2","",""
"MHT-ME-PF-Tee - Soldered - CU2","Pipe Fittings","MHT-ME-FAM-PF-Tee-Soldered-CU2","",""
"MHT-ME-PF-Elbow - Soldered - CU2","Pipe Fittings","MHT-ME-FAM-PF-Elbow-Soldered-CU2","",""
"MHT-ME-DF-Rectangular Long Radius Bend - Flanged","Duct Fittings","MHT-ME-DF-DF-Rectangular-Long-Radius-Bend-Flanged","","missing_shape;missing_fitting;missing_size"
"MHT_ASYM_SHT_STARTING VIEW","Title Blocks","MHT-ME-FAM-ASYM-SHT-STARTING-VIEW","",""
"MHT-ME-GM-Spatial","Generic Models","MHT-ME-GM-GM-Spatial","",""
"Anno_Tag_Room_1","Room Tags","MHT-ME-FAM-Anno-Tag-Room-1","",""
"Anno_Tag_Room_2","Room Tags","MHT-ME-FAM-Anno-Tag-Room-2","",""
"Anno_Tag_Room_Large","Room Tags","MHT-ME-FAM-Anno-Tag-Room-Large","",""
"Anno_Tag_Room_Medium","Room Tags","MHT-ME-FAM-Anno-Tag-Room-Medium","",""
"Anno_Tag_Room_Small","Room Tags","MHT-ME-FAM-Anno-Tag-Room-Small","",""
"Anno_Tag_Room_XLarge","Room Tags","MHT-ME-FAM-Anno-Tag-Room-Xlarge","",""
"Room Tag - Lighting","Room Tags","MHT-ME-FAM-Room-Tag-Lighting","",""
"MHT_ME-GM-Spatial 1","Generic Models","MHT-ME-GM-GM-Spatial-1","",""
"MHT-ME-EQ-Pump-Base_Mounted_End-Taco-FI_D_Models","Mechanical Equipment","MHT-ME-MEQ-Pump-UND","",""
"MHT-ME-GA_Equipment Tag","Mechanical Equipment Tags","MHT-ME-FAM-GA-Equipment-Tag","",""
"MHT-ME-DF-Oval - Round Transformation - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Oval-Round-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Oval Blank End","Duct Fittings","MHT-ME-DF-DF-Oval-Blank-End","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Oval Concentric Taper - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Oval-Concentric-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval Segmented Bend - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Oval-Segmented-Bend-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval Shoe Branch - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Oval-Shoe-Branch-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval Shoe Cross - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Oval-Shoe-Cross-Slip-Joint","","missing_shape;missing_fitting"
